City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,almyros,39.1822,22.7594,301.1,47,75,3.09,GR,1720031101
1,port-aux-francais,-49.35,70.2167,273.42,63,98,2.5,TF,1720031102
2,puerto natales,-51.7236,-72.4875,275.4,75,100,2.06,CL,1720031104
3,san patricio,28.017,-97.5169,307.68,58,53,6.6,US,1720031106
4,sake,-1.5736,29.045,291.21,77,59,0.32,CD,1720031108
5,hermanus,-34.4187,19.2345,285.82,78,51,8.25,ZA,1720031109
6,fort mcmurray,56.7268,-111.381,295.88,56,20,4.63,CA,1720031110
7,edinburgh of the seven seas,-37.0676,-12.3116,285.93,70,40,14.46,SH,1720031112
8,petropavlovsk-kamchatsky,53.0452,158.6483,282.48,100,100,1.0,RU,1720031113
9,badger,64.8,-147.5333,292.29,60,100,5.14,US,1720031114
10,mhamid,29.82,-5.72,314.89,2,0,7.38,MA,1720031116
11,port mathurin,-19.6833,63.4167,296.13,58,87,9.52,MU,1720031117
12,cabo san lucas,22.8909,-109.9124,302.76,58,19,1.79,MX,1720031119
13,gadzhiyevo,69.2551,33.3362,282.7,85,99,5.99,RU,1720031120
14,stanley,54.868,-1.6985,288.92,83,96,4.48,GB,1720031113
15,remire-montjoly,4.9167,-52.2667,302.17,79,20,1.54,GF,1720031123
16,waitangi,-43.9535,-176.5597,279.16,67,100,11.2,NZ,1720031124
17,ushuaia,-54.8,-68.3,275.94,93,100,2.57,AR,1720031126
18,grytviken,-54.2811,-36.5092,269.19,61,4,1.83,GS,1720031127
19,orange walk,17.8333,-88.8333,306.41,49,71,3.4,BZ,1720031130
20,borba,-4.3878,-59.5939,304.86,52,49,2.1,BR,1720031132
21,el calafate,-50.3408,-72.2768,273.58,82,85,4.33,AR,1720031133
22,iqaluit,63.7506,-68.5145,279.0,75,100,5.14,CA,1720031135
23,constantia,44.1833,28.65,295.76,88,81,4.44,RO,1720031136
24,bredasdorp,-34.5322,20.0403,285.48,83,92,6.75,ZA,1720031138
25,tondano,1.3038,124.9112,293.2,97,100,0.73,ID,1720031139
26,tolanaro,-25.0319,46.9987,293.19,77,20,9.26,MG,1720031140
27,blackmans bay,-43.0167,147.3167,278.22,88,11,1.93,AU,1720031142
28,papatowai,-46.5619,169.4708,277.42,90,32,3.59,NZ,1720031143
29,bayanhongor,46.7167,100.1167,284.94,83,100,1.49,MN,1720031145
30,aginskoye,51.1,114.53,294.74,41,100,1.63,RU,1720031146
31,kingston,17.997,-76.7936,298.68,89,100,2.06,JM,1720030937
32,mazagao,-0.115,-51.2894,303.18,53,41,2.71,BR,1720031149
33,enewetak,11.3474,162.3373,301.92,70,98,8.21,MH,1720031150
34,natal,-5.795,-35.2094,299.51,88,75,5.14,BR,1720031078
35,invercargill,-46.4,168.35,275.94,92,35,2.24,NZ,1720031153
36,keflavik,64.0049,-22.5624,287.1,87,100,6.69,IS,1720031155
37,thompson,55.7435,-97.8558,290.24,77,100,4.12,CA,1720031156
38,canutama,-6.5339,-64.3831,309.89,28,57,1.1,BR,1720031158
39,dumai,1.6833,101.45,298.08,97,90,1.24,ID,1720031159
40,penhalonga,-18.8911,32.6978,285.11,43,2,0.55,ZW,1720031160
41,george town,5.4112,100.3354,300.9,79,20,0.0,MY,1720030918
42,nar'yan-mar,67.6713,53.087,289.4,73,67,2.29,RU,1720031163
43,hamilton,39.1834,-84.5333,305.92,64,40,6.17,US,1720031165
44,bonthe,7.5264,-12.505,298.87,82,49,4.25,SL,1720031166
45,udachny,66.4167,112.4,281.09,55,4,1.68,RU,1720031168
46,qaqortoq,60.7167,-46.0333,278.94,74,23,1.92,GL,1720031169
47,aasiaat,68.7098,-52.8699,276.38,84,70,2.23,GL,1720031170
48,adamstown,-25.066,-130.1015,293.92,61,100,3.87,PN,1720031172
49,talnakh,69.4865,88.3972,285.95,58,97,4.23,RU,1720031173
50,bethel,41.3712,-73.414,301.96,45,0,4.63,US,1720031175
51,huarmey,-10.0681,-78.1522,293.6,72,55,3.45,PE,1720031176
52,margaret river,-33.95,115.0667,282.18,89,2,3.9,AU,1720031178
53,ciudad bolivar,8.1222,-63.5497,307.21,45,44,1.5,VE,1720031179
54,vadso,70.0744,29.7487,281.24,76,75,4.63,NO,1720031180
55,pamekasan,-7.1568,113.4746,298.5,87,100,3.96,ID,1720031182
56,ribeira grande,38.5167,-28.7,298.37,53,20,4.92,PT,1720031183
57,lebu,-37.6167,-73.65,283.45,65,100,4.4,CL,1720031185
58,ar rutbah,33.0381,40.2848,304.32,17,0,2.51,IQ,1720031186
59,labuan,5.2767,115.2417,299.35,94,20,0.0,MY,1720031188
60,kodiak,57.79,-152.4072,282.88,87,100,1.54,US,1720031189
61,atbasar,51.8,68.3333,287.8,91,39,4.12,KZ,1720031190
62,saipan,15.1355,145.701,301.54,83,20,3.6,MP,1720031192
63,ross on wye,51.9167,-2.5667,292.53,79,100,2.24,GB,1720031193
64,pahrump,36.2083,-115.9839,312.18,8,0,0.89,US,1720031195
65,tabas,33.5959,56.9244,314.27,12,54,3.09,IR,1720031196
66,labrador city,52.9463,-66.9114,294.92,53,100,2.57,CA,1720031198
67,prince albert,53.2001,-105.7677,297.12,53,75,6.69,CA,1720031142
68,albany,42.6001,-73.9662,301.99,50,39,0.89,US,1720031004
69,rikaze,29.25,88.8833,285.49,79,100,2.0,CN,1720031202
70,paita,-5.0892,-81.1144,294.96,71,15,4.53,PE,1720031205
71,rusera,25.75,86.0333,301.4,85,100,5.13,IN,1720031206
72,jamestown,42.097,-79.2353,303.92,60,75,6.17,US,1720030987
73,port elizabeth,-33.918,25.5701,287.31,82,0,5.14,ZA,1720031209
74,wailua homesteads,22.0669,-159.378,298.59,79,20,5.14,US,1720031211
75,bilibino,68.0546,166.4372,285.39,71,46,1.29,RU,1720031212
76,bhimbar,32.9757,74.0793,307.37,57,9,8.15,PK,1720031213
77,tiksi,71.6872,128.8694,276.97,85,98,1.89,RU,1720031215
78,prince george,53.9166,-122.753,289.98,59,100,2.57,CA,1720031216
79,nikolayevsk-on-amure,53.1406,140.73,292.16,74,14,1.14,RU,1720031218
80,anadyr,64.75,177.4833,286.43,82,0,6.0,RU,1720031219
81,chonchi,-42.6128,-73.8092,280.44,72,71,4.14,CL,1720031221
82,puerto deseado,-47.7503,-65.8938,278.62,50,67,10.23,AR,1720031222
83,puerto rico,-26.796,-55.024,299.39,55,100,0.48,AR,1720031223
84,ilulissat,69.2167,-51.1,278.16,81,40,2.57,GL,1720031225
85,cabedelo,-6.9811,-34.8339,300.52,75,77,7.82,BR,1720031226
86,nemuro,43.3236,145.575,287.67,79,21,0.84,JP,1720031228
87,lorengau,-2.0226,147.2712,299.0,83,100,3.95,PG,1720031229
88,opuwo,-18.0607,13.84,293.23,16,41,2.96,,1720031231
89,mahibadhoo,3.7833,72.9667,301.19,77,100,5.1,MV,1720031232
90,mili,6.0815,171.735,301.63,80,96,7.7,MH,1720031233
91,irece,-11.3042,-41.8558,301.93,28,37,5.7,BR,1720031235
92,east london,-33.0153,27.9116,286.67,94,0,1.03,ZA,1720031236
93,port isabel,26.0734,-97.2086,307.6,63,40,7.72,US,1720030920
94,priob'ye,62.5206,65.5964,293.38,73,77,2.4,RU,1720031239
95,velyka oleksandrivka,47.3197,33.3037,299.36,29,7,3.69,UA,1720031241
96,springs,-26.25,28.4,287.41,34,0,3.61,ZA,1720031242
97,betio village,1.358,172.9211,299.17,74,100,7.69,KI,1720031243
98,college,64.8569,-147.8028,292.33,57,100,5.14,US,1720031245
99,belmonte,-15.8631,-38.8828,299.23,53,27,3.05,BR,1720031246
100,camana,-16.6228,-72.7111,290.29,72,60,2.46,PE,1720031248
101,sulejow,51.3544,19.8854,291.03,68,100,1.85,PL,1720031249
102,yantzaza,-3.8278,-78.7594,302.22,52,31,1.4,EC,1720031251
103,kiunga,-6.1219,141.2906,296.7,99,100,1.06,PG,1720031252
104,la passe,45.5549,-0.8967,293.28,78,80,5.9,FR,1720031254
105,kikwit,-5.041,18.8162,300.85,25,65,0.79,CD,1720031255
106,quitilipi,-26.8691,-60.2168,302.32,37,19,1.15,AR,1720031257
107,darwin,-12.4611,130.8418,295.14,52,39,5.14,AU,1720030998
